Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
YTHDC2	928319.4	882829.25	1192917.6	48923.223	59429.23	69609.9	1386307.4	1019363.75	1288415.8	0	0	0	624434.8	819422.94	991855.5	13123.943	30515.674	0	554954	683601	557187.94	0	0	0
AZI2	52511.758	17176.785	86769.914	0	0	0	154257.94	115915.766	87261.89	0	0	0	76046.05	75000.27	222259.78	0	0	0	0	0	0	0	0	0
EPS8L2	25801.115	6039.2324	242220.16	0	0	0	288328.84	17722.164	297330.56	0	0	0	0	16226.091	30400.035	72387.914	0	0	0	0	0	0	0	0
RPAP3	929684.8	855146.5	1131657.9	90106.26	106999.12	73375.12	1255959.8	1304206	1354918.6	0	0	0	1473563.6	1497255.9	1905346.9	228012.64	473640.25	277644	355728.53	338811.44	394034.3	0	0	4603.303
BCAS3	65181.312	165571.53	3516706	0	0	0	2534366.5	2558973	2810921.5	0	0	0	2004797.5	142509.28	256053.84	0	132692.1	0	894367.94	127139.81	674894.06	0	0	0
ANTXR1	0	0	9900.06	0	0	0	0	0	10208.144	0	0	0	0	6132.68	8159.63	0	0	0	0	0	0	0	0	0
WDR55	22842.28	0	18427.059	3378.6538	0	0	34146.297	19930.676	40213.348	0	4299.885	0	7449.789	6667.531	7185.5825	20929.604	84642.49	25513.719	0	0	0	0	0	0
RANBP3	13395.37	0	12532.099	0	0	0	101170.82	52861.53	123984.5	0	0	0	10088.566	12014.46	0	42051.42	144110.94	43479.28	0	0	0	0	0	0
DCTPP1	0	2439.8745	3496.0142	2711.7388	3427.5386	0	0	4177.2173	6141.103	0	25286.672	13702.024	0	3118.6921	0	0	0	2412.7673	2461.1284	0	0	2603.0781	2585.457	13919.546
SH2D4A	1061416	989983.94	1186973.4	13201.57	71524.04	25933.219	1104985.5	908773.6	723634.8	0	11115.728	9277.258	3981495.8	3873875.5	594044.3	162770.88	287514.88	67648	105928.92	109597.984	195582.67	23233.266	0	0
